image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,pieces_affected,crash
n01748264/n01748264_12351.JPEG,transient-SEFI-blk,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.985754,63,"Indian cobra, Naja naja",0.991909,61,"boa constrictor, Constrictor constrictor",0.00191484,62,"rock python, rock snake, Python sebae",0.00149128,1,-0.00615531,4096,16370,piece_16_layer4_2,0
n01748264/n01748264_12842.JPEG,transient-SEFI-blk,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.867971,63,"Indian cobra, Naja naja",0.702875,60,"night snake, Hypsiglena torquata",0.0740825,52,"thunder snake, worm snake, Carphophis amoenus",0.0449333,1,0.165095,4096,16505,piece_16_layer4_2,0
n01748264/n01748264_15432.JPEG,transient-SEFI-blk,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.99683,63,"Indian cobra, Naja naja",0.996519,52,"thunder snake, worm snake, Carphophis amoenus",0.000908708,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.000707702,1,0.000310838,4096,16409,piece_14_layer4_0,0
n01748264/n01748264_19883.JPEG,transient-SEFI-blk,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.991875,63,"Indian cobra, Naja naja",0.9677,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.00652031,60,"night snake, Hypsiglena torquata",0.00652031,1,0.024175,4096,16427,piece_08_layer3_0,0
n01748264/n01748264_2196.JPEG,transient-SEFI-blk,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977813,63,"Indian cobra, Naja naja",0.965128,65,sea snake,0.0176769,58,water snake,0.00834999,1,0.0126845,4096,16516,piece_10_layer3_2,0
n02093991/n02093991_2155.JPEG,transient-SEFI-blk,weights,1,184,Irish terrier,184,Irish terrier,0.864441,184,Irish terrier,0.800828,189,Lakeland terrier,0.0310515,159,Rhodesian ridgeback,0.0310515,1,0.0636123,4096,16446,piece_14_layer4_0,0
n02093991/n02093991_75.JPEG,transient-SEFI-blk,weights,1,184,Irish terrier,184,Irish terrier,0.799318,184,Irish terrier,0.766617,182,Border terrier,0.10375,170,Irish wolfhound,0.0381676,1,0.0327014,4096,16616,piece_15_layer4_1,0
n02093991/n02093991_7823.JPEG,transient-SEFI-blk,weights,1,184,Irish terrier,184,Irish terrier,0.433246,184,Irish terrier,0.509128,255,Leonberg,0.145868,202,soft-coated wheaten terrier,0.145868,1,-0.0758818,4096,16504,piece_11_layer3_3,0
n02093991/n02093991_7935.JPEG,transient-SEFI-blk,weights,1,184,Irish terrier,184,Irish terrier,0.905437,184,Irish terrier,0.887264,191,"Airedale, Airedale terrier",0.026793,189,Lakeland terrier,0.0208664,1,0.0181736,4096,16428,piece_15_layer4_1,0
n02093991/n02093991_8145.JPEG,transient-SEFI-blk,weights,1,184,Irish terrier,243,bull mastiff,0.649265,243,bull mastiff,0.59578,242,boxer,0.103531,184,Irish terrier,0.0627947,0,0.0534849,4096,16423,piece_14_layer4_0,0
