image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,603,"horse cart, horse-cart",0.027010,476,"carousel, carrousel, merry-go-round, roundabout, whirligig",0.027010,132,"American egret, great white heron, Egretta albus",0.027010,0,0.874456,1008,4099,0x722e000,"output",0,0,1008,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,359,"black-footed ferret, ferret, Mustela nigripes",0.031931,84,"peacock",0.031931,343,"warthog",0.028179,0,0.297220,1008,4010,0x722e000,"output",0,0,1008,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,679,"necklace",0.028460,553,"file, file cabinet, filing cabinet",0.028460,421,"bannister, banister, balustrade, balusters, handrail",0.028460,0,0.858424,1008,4086,0x722e000,"output",0,0,1008,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,488,"chain",0.024879,317,"leafhopper",0.024879,439,"bearskin, busby, shako",0.024879,0,0.885727,1008,4004,0x722e000,"output",0,0,1008,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.029086,137,"American coot, marsh hen, mud hen, water hen, Fulica americana",0.029086,199,"Scotch terrier, Scottish terrier, Scottie",0.029086,0,0.933472,1008,3985,0x722e000,"output",0,0,1008,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",184,"Irish terrier",0.872575,873,"triumphal arch",0.027712,779,"school bus",0.027712,707,"pay-phone, pay-station",0.027712,0,0.844863,1008,4074,0x722e000,"output",0,0,1008,0
"n02093991/n02093991_75.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",184,"Irish terrier",0.580369,545,"electric fan, blower",0.026686,426,"barometer",0.026686,114,"slug",0.026686,0,0.553683,1008,4066,0x722e000,"output",0,0,1008,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",184,"Irish terrier",0.677267,97,"drake",0.032064,36,"terrapin",0.028297,40,"American chameleon, anole, Anolis carolinensis",0.028297,0,0.645203,1008,4031,0x722e000,"output",0,0,1008,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",184,"Irish terrier",0.902510,495,"china cabinet, china closet",0.032717,266,"miniature poodle",0.032717,48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",0.032717,0,0.869792,1008,4026,0x722e000,"output",0,0,1008,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",243,"bull mastiff",0.299598,543,"dumbbell",0.025893,35,"mud turtle",0.025893,27,"eft",0.025893,0,0.273705,1008,3946,0x722e000,"output",0,0,1008,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.468643,463,"bucket, pail",0.026010,308,"fly",0.026010,132,"American egret, great white heron, Egretta albus",0.026010,0,0.442632,1008,4127,0x722e000,"output",0,0,1008,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.937680,846,"table lamp",0.028430,720,"pill bottle",0.028430,666,"mortar",0.028430,0,0.909249,1008,4096,0x722e000,"output",0,0,1008,0
"n02096051/n02096051_495.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.990033,314,"cockroach, roach",0.030649,110,"flatworm, platyhelminth",0.030649,33,"loggerhead, loggerhead turtle, Caretta caretta",0.030649,0,0.959385,1008,4027,0x722e000,"output",0,0,1008,0
