image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.046878,378,"capuchin, ringtail, Cebus capucinus",0.046878,220,"Sussex spaniel",0.046878,0,0.799073,1008,4043,0x430a000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,691,"oxygen mask",0.047095,642,"marimba, xylophone",0.047095,293,"cheetah, chetah, Acinonyx jubatus",0.047095,0,0.889620,1008,4037,0x430a000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,592,"hard disc, hard disk, fixed disk",0.045439,189,"Lakeland terrier",0.045439,362,"badger",0.045439,0,0.954535,1008,4036,0x430a000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,786,"sewing machine",0.052434,305,"dung beetle",0.052434,185,"Norfolk terrier",0.052434,0,0.924995,1008,4068,0x430a000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-row","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,166,"Walker hound, Walker foxhound",0.066498,163,"bloodhound, sleuthhound",0.051789,31,"tree frog, tree-frog",0.051789,0,0.930903,1008,4054,0x430a000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",184,"Irish terrier",0.614769,431,"bassinet",0.055983,315,"mantis, mantid",0.055983,210,"German short-haired pointer",0.055983,0,0.558786,1008,4028,0x430a000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",182,"Border terrier",0.983502,432,"bassoon",0.037901,385,"Indian elephant, Elephas maximus",0.037901,158,"toy terrier",0.037901,0,0.945601,1008,4086,0x430a000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,220,"Sussex spaniel",0.042521,19,"chickadee",0.042521,61,"boa constrictor, Constrictor constrictor",0.042521,0,0.509699,1008,4046,0x430a000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",184,"Irish terrier",0.964093,510,"container ship, containership, container vessel",0.062698,165,"black-and-tan coonhound",0.062698,150,"sea lion",0.062698,0,0.901395,1008,4085,0x430a000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-row","buffers",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,377,"marmoset",0.059783,88,"macaw",0.059783,216,"clumber, clumber spaniel",0.059783,0,0.257719,1008,3994,0x430a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,330,"wood rabbit, cottontail, cottontail rabbit",0.050199,3,"tiger shark, Galeocerdo cuvieri",0.050199,56,"king snake, kingsnake",0.050199,0,0.791786,1008,3991,0x430a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,884,"vault",0.077646,563,"fountain pen",0.077646,485,"CD player",0.077646,0,0.836434,1008,4060,0x430a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,784,"screwdriver",0.049372,516,"cradle",0.049372,194,"Dandie Dinmont, Dandie Dinmont terrier",0.049372,0,0.919237,1008,4049,0x430a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,866,"tractor",0.061756,750,"quilt, comforter, comfort, puff",0.061756,324,"cabbage butterfly",0.061756,0,0.926947,1008,4059,0x430a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-row","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,609,"jeep, landrover",0.053160,124,"crayfish, crawfish, crawdad, crawdaddy",0.053160,231,"collie",0.053160,0,0.937962,1008,4004,0x430a000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","transient-SEFI-row","buffers",1,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,464,"buckle",0.040428,1,"goldfish, Carassius auratus",0.040428,219,"cocker spaniel, English cocker spaniel, cocker",0.040428,0,0.808023,1008,4078,0x430a000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","transient-SEFI-row","buffers",1,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,578,"gown",0.058126,265,"toy poodle",0.058126,485,"CD player",0.058126,0,0.431852,1008,4074,0x430a000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","transient-SEFI-row","buffers",1,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,239,"Bernese mountain dog",0.062284,911,"wool, woolen, woollen",0.062284,819,"stage",0.048507,0,0.454028,1008,4059,0x430a000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_5538.JPEG","transient-SEFI-row","buffers",1,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,322,"ringlet, ringlet butterfly",0.050795,92,"bee eater",0.050795,74,"garden spider, Aranea diademata",0.039559,0,0.520316,1008,4054,0x430a000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_9772.JPEG","transient-SEFI-row","buffers",1,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,959,"carbonara",0.080076,46,"green lizard, Lacerta viridis",0.080076,80,"black grouse",0.080076,0,0.225177,1008,4021,0x430a000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1044.JPEG","transient-SEFI-row","buffers",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,887,"vestment",0.076325,649,"megalith, megalithic structure",0.076325,712,"Petri dish",0.076325,0,0.856751,1008,4063,0x430a000,0,0,-1,0.000000,"",0,0
