image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,580,"greenhouse, nursery, glasshouse",0.249467,579,"grand piano, grand",0.249467,693,"paddle, boat paddle",0.249467,0,0.596485,8192,32980,0x1ba8a820,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,580,"greenhouse, nursery, glasshouse",0.244719,691,"oxygen mask",0.244719,692,"packet",0.244719,0,0.691996,8192,32733,0x1ba8e820,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,690,"oxcart",0.199937,580,"greenhouse, nursery, glasshouse",0.199937,691,"oxygen mask",0.199937,0,0.800037,8192,33006,0x1ba8e820,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,692,"packet",0.331897,580,"greenhouse, nursery, glasshouse",0.331897,693,"paddle, boat paddle",0.331897,0,0.645532,8192,33077,0x1ba98820,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","input_tensor",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,691,"oxygen mask",0.243189,580,"greenhouse, nursery, glasshouse",0.243189,693,"paddle, boat paddle",0.243189,0,0.754213,8192,32715,0x1ba9c820,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.614769,580,"greenhouse, nursery, glasshouse",0.331528,692,"packet",0.331528,693,"paddle, boat paddle",0.331528,0,0.283241,8192,33037,0x1baa0820,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",182,"Border terrier",0.983502,691,"oxygen mask",0.197620,690,"oxcart",0.197620,692,"packet",0.197620,0,0.785881,8192,32867,0x1ba86820,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,580,"greenhouse, nursery, glasshouse",0.331669,692,"packet",0.331669,693,"paddle, boat paddle",0.331669,0,0.220550,8192,32654,0x1ba86820,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",184,"Irish terrier",0.964093,580,"greenhouse, nursery, glasshouse",0.249960,691,"oxygen mask",0.249960,692,"packet",0.249960,0,0.714133,8192,32772,0x1ba88820,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","input_tensor",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,693,"paddle, boat paddle",0.326271,580,"greenhouse, nursery, glasshouse",0.326271,692,"packet",0.326271,0,-0.008768,8192,33000,0x1ba9e820,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","SEFI-row","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,580,"greenhouse, nursery, glasshouse",0.198859,578,"gown",0.198859,691,"oxygen mask",0.198859,0,0.643126,8192,33015,0x1ba86820,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","SEFI-row","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,580,"greenhouse, nursery, glasshouse",0.184416,690,"oxcart",0.184416,692,"packet",0.184416,0,0.729664,8192,32870,0x1ba90820,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","SEFI-row","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,580,"greenhouse, nursery, glasshouse",0.327306,691,"oxygen mask",0.327306,693,"paddle, boat paddle",0.327306,0,0.641303,8192,32860,0x1ba94820,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","SEFI-row","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,691,"oxygen mask",0.248736,580,"greenhouse, nursery, glasshouse",0.248736,692,"packet",0.248736,0,0.739967,8192,32849,0x1baa0820,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","SEFI-row","input_tensor",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,580,"greenhouse, nursery, glasshouse",0.314995,692,"packet",0.314995,693,"paddle, boat paddle",0.314995,0,0.676126,8192,32905,0x1ba86820,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","SEFI-row","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,580,"greenhouse, nursery, glasshouse",0.331745,693,"paddle, boat paddle",0.331745,579,"grand piano, grand",0.331745,0,0.516706,8192,33080,0x1ba94820,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","SEFI-row","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,580,"greenhouse, nursery, glasshouse",0.198340,579,"grand piano, grand",0.198340,692,"packet",0.198340,0,0.291638,8192,32779,0x1ba94820,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","SEFI-row","input_tensor",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,690,"oxcart",0.198927,692,"packet",0.198927,693,"paddle, boat paddle",0.198927,0,0.317384,8192,32947,0x1ba84820,0,0,-1,0.000000,"",0,0
