image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,299,"meerkat, mierkat",0.127753,966,"red wine",0.068381,904,"window screen",0.053255,0,0.773713,25288,101487,0x1be001fc,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,63,"Indian cobra, Naja naja",0.308320,64,"green mamba",0.308320,60,"night snake, Hypsiglena torquata",0.113425,1,0.020831,25264,101400,0x1be01d6e,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,818,"spotlight, spot",0.581932,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.069502,613,"joystick",0.042155,0,0.304952,25288,101664,0x1be000f6,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,125,"hermit crab",0.163110,327,"starfish, sea star",0.098931,506,"coil, spiral, volute, whorl, helix",0.060005,0,0.747496,25264,101318,0x1be013ac,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-col","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,58,"water snake",0.533534,63,"Indian cobra, Naja naja",0.173213,65,"sea snake",0.072206,0,0.429025,25280,101416,0x1be00660,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",184,"Irish terrier",0.872575,184,"Irish terrier",0.609310,189,"Lakeland terrier",0.287818,182,"Border terrier",0.044138,1,0.263265,25272,101271,0x1be00db8,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",184,"Irish terrier",0.580369,446,"binder, ring-binder",0.192102,641,"maraca",0.132030,750,"quilt, comforter, comfort, puff",0.062366,0,0.388267,25288,101366,0x1be00198,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",184,"Irish terrier",0.677267,184,"Irish terrier",0.256703,219,"cocker spaniel, English cocker spaniel, cocker",0.094436,182,"Border terrier",0.083339,1,0.420564,25264,101636,0x1be0166a,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",184,"Irish terrier",0.902510,184,"Irish terrier",0.387809,496,"Christmas stocking",0.161663,185,"Norfolk terrier",0.098053,1,0.514701,25264,101411,0x1be0179c,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-col","buffers",1,184,"Irish terrier",243,"bull mastiff",0.299598,243,"bull mastiff",0.176487,159,"Rhodesian ridgeback",0.137448,182,"Border terrier",0.107045,0,0.123111,25264,101445,0x1be01647,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.468643,234,"Rottweiler",0.420559,165,"black-and-tan coonhound",0.093839,226,"briard",0.050229,0,0.048084,25288,101351,0x1be00365,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.937680,191,"Airedale, Airedale terrier",0.490905,646,"maze, labyrinth",0.066437,184,"Irish terrier",0.066437,1,0.446775,25264,101645,0x1be01459,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.990033,191,"Airedale, Airedale terrier",0.973441,189,"Lakeland terrier",0.017829,184,"Irish terrier",0.004508,1,0.016592,25264,101357,0x1be01c02,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.639094,741,"prayer rug, prayer mat",0.215412,824,"stole",0.069934,110,"flatworm, platyhelminth",0.069934,0,0.423681,25264,101638,0x1be01b4e,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-col","buffers",1,191,"Airedale, Airedale terrier",189,"Lakeland terrier",0.491600,805,"soccer ball",0.092645,263,"Pembroke, Pembroke Welsh corgi",0.072152,264,"Cardigan, Cardigan Welsh corgi",0.063674,0,0.398955,25288,101809,0x1be00171,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
