image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,545,"electric fan, blower",0.043366,292,"tiger, Panthera tigris",0.043366,216,"clumber, clumber spaniel",0.043366,0,0.802586,1008,3977,0x6dca000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,133,"bittern",0.070652,226,"briard",0.055024,15,"robin, American robin, Turdus migratorius",0.055024,0,0.866063,1008,4029,0x6dca000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,744,"projectile, missile",0.053145,417,"balloon",0.053145,713,"photocopier",0.053145,0,0.946829,1008,4027,0x6dca000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.053124,115,"sea slug, nudibranch",0.053124,245,"French bulldog",0.053124,0,0.924304,1008,4130,0x6dca000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,827,"stove",0.067666,659,"mixing bowl",0.067666,520,"crib, cot",0.067666,0,0.929735,1008,4031,0x6dca000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,463,"bucket, pail",0.073168,710,"pencil sharpener",0.073168,520,"crib, cot",0.056983,0,0.541601,1008,4085,0x6dca000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-row","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,606,"iron, smoothing iron",0.055708,578,"gown",0.055708,189,"Lakeland terrier",0.055708,0,0.927794,1008,4016,0x6dca000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-row","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,533,"dishrag, dishcloth",0.049479,71,"scorpion",0.049479,224,"groenendael",0.049479,0,0.502740,1008,3979,0x6dca000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,287,"lynx, catamount",0.060687,31,"tree frog, tree-frog",0.060687,47,"African chameleon, Chamaeleo chamaeleon",0.060687,0,0.903406,1008,4086,0x6dca000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-row","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,656,"minivan",0.049234,479,"car wheel",0.049234,527,"desktop computer",0.049234,0,0.268268,1008,4073,0x6dca000,0,0,-1,0.000000,"",0,0
