image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,442,"bell cote, bell cot",0.562165,886,"vending machine",0.437815,63,"Indian cobra, Naja naja",0.000009,0,0.283786,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,739,"potter's wheel",0.999642,63,"Indian cobra, Naja naja",0.000335,57,"garter snake, grass snake",0.000006,0,-0.062927,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,64,"green mamba",0.000002,1,0.000000,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,364,"three-toed sloth, ai, Bradypus tridactylus",0.995976,63,"Indian cobra, Naja naja",0.002469,389,"barracouta, snoek",0.001497,0,-0.018547,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,189,"Lakeland terrier",0.562162,741,"prayer rug, prayer mat",0.437812,63,"Indian cobra, Naja naja",0.000020,0,0.435239,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,402,"acoustic guitar",0.999997,879,"umbrella",0.000002,184,"Irish terrier",0.000001,0,-0.385228,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,869,"trench coat",0.999660,182,"Border terrier",0.000335,184,"Irish terrier",0.000002,0,-0.016158,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,534,"dishwasher, dish washer, dishwashing machine",0.999923,7,"cock",0.000075,202,"soft-coated wheaten terrier",0.000001,0,-0.447704,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,73,"barn spider, Araneus cavaticus",0.999994,971,"bubble",0.000003,184,"Irish terrier",0.000003,0,-0.035901,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.316828,184,"Irish terrier",0.192166,163,"bloodhound, sleuthhound",0.192166,0,0.000674,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.798979,125,"hermit crab",0.051077,189,"Lakeland terrier",0.039779,1,0.043006,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,987,"corn",0.562128,715,"pickelhaube",0.265531,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.161052,0,0.351952,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,660,"mobile home, manufactured home",0.499985,437,"beacon, lighthouse, beacon light, pharos",0.499985,191,"Airedale, Airedale terrier",0.000029,0,0.468624,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,680,"nipple",0.643270,368,"gibbon, Hylobates lar",0.303859,553,"file, file cabinet, filing cabinet",0.052803,0,0.345432,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,146,"albatross, mollymawk",0.998820,191,"Airedale, Airedale terrier",0.000709,658,"mitten",0.000261,0,-0.007698,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,82,"ruffed grouse, partridge, Bonasa umbellus",0.703311,671,"mountain bike, all-terrain bike, off-roader",0.201502,174,"Norwegian elkhound, elkhound",0.095183,0,0.145140,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,298,"mongoose",0.509097,201,"silky terrier, Sydney silky",0.240480,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.145859,0,-0.019118,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,263,"Pembroke, Pembroke Welsh corgi",0.515715,264,"Cardigan, Cardigan Welsh corgi",0.401639,158,"toy terrier",0.032969,0,0.000596,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,291,"lion, king of beasts, Panthera leo",1.000000,162,"beagle",0.000000,907,"wine bottle",0.000000,0,-0.428890,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,693,"paddle, boat paddle",0.999994,287,"lynx, catamount",0.000006,195,"Boston bull, Boston terrier",0.000000,0,-0.694741,0,0
