image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,589,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.071966,52,"thunder snake, worm snake, Carphophis amoenus",0.071966,132,"American egret, great white heron, Egretta albus",0.071966,0,0.773985,1008,3959,0x718f000,"output",0,0,1008,0
"n01748264/n01748264_12842.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,228,"komondor",0.040229,222,"kuvasz",0.040229,204,"Lhasa, Lhasa apso",0.040229,0,0.896486,1008,3990,0x718f000,"output",0,0,1008,0
"n01748264/n01748264_15432.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,495,"china cabinet, china closet",0.056169,140,"red-backed sandpiper, dunlin, Erolia alpina",0.056169,10,"brambling, Fringilla montifringilla",0.056169,0,0.943805,1008,4033,0x718f000,"output",0,0,1008,0
"n01748264/n01748264_19883.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,591,"handkerchief, hankie, hanky, hankey",0.052667,132,"American egret, great white heron, Egretta albus",0.041017,371,"patas, hussar monkey, Erythrocebus patas",0.041017,0,0.924761,1008,4004,0x718f000,"output",0,0,1008,0
"n01748264/n01748264_2196.JPEG","SEFI-row","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,578,"gown",0.052366,298,"mongoose",0.052366,90,"lorikeet",0.052366,0,0.945036,1008,4101,0x718f000,"output",0,0,1008,0
"n02093991/n02093991_2155.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,816,"spindle",0.090426,566,"French horn, horn",0.090426,456,"bow",0.070424,0,0.524343,1008,4072,0x718f000,"output",0,0,1008,0
"n02093991/n02093991_75.JPEG","SEFI-row","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,255,"Leonberg",0.045069,237,"miniature pinscher",0.045069,63,"Indian cobra, Naja naja",0.045069,0,0.938433,1008,4038,0x718f000,"output",0,0,1008,0
"n02093991/n02093991_7823.JPEG","SEFI-row","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,533,"dishrag, dishcloth",0.061551,477,"carpenter's kit, tool kit",0.061551,76,"tarantula",0.061551,0,0.490668,1008,4079,0x718f000,"output",0,0,1008,0
"n02093991/n02093991_7935.JPEG","SEFI-row","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,857,"throne",0.047697,344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.047697,681,"notebook, notebook computer",0.047697,0,0.916396,1008,4020,0x718f000,"output",0,0,1008,0
"n02093991/n02093991_8145.JPEG","SEFI-row","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,767,"rubber eraser, rubber, pencil eraser",0.041576,240,"Appenzeller",0.041576,149,"dugong, Dugong dugon",0.041576,0,0.275926,1008,4074,0x718f000,"output",0,0,1008,0
