image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-block","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,706,"patio, terrace",0.062859,614,"kimono",0.062859,109,"brain coral",0.062859,0,0.783092,1008,4065,0x2b37000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-block","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,707,"pay-phone, pay-station",0.049564,191,"Airedale, Airedale terrier",0.049564,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.049564,0,0.887151,1008,4145,0x2b37000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-block","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,578,"gown",0.060440,360,"otter",0.047070,460,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.047070,0,0.939534,1008,4100,0x2b37000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-block","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,790,"shopping basket",0.076246,377,"marmoset",0.076246,663,"monastery",0.076246,0,0.901183,1008,4009,0x2b37000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-block","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,848,"tape player",0.071673,196,"miniature schnauzer",0.071673,737,"pop bottle, soda bottle",0.071673,0,0.925728,1008,4052,0x2b37000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-block","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,294,"brown bear, bruin, Ursus arctos",0.052322,5,"electric ray, crampfish, numbfish, torpedo",0.052322,134,"crane",0.052322,0,0.562447,1008,4073,0x2b37000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-block","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,213,"Irish setter, red setter",0.050764,177,"Scottish deerhound, deerhound",0.050764,60,"night snake, Hypsiglena torquata",0.050764,0,0.932737,1008,4044,0x2b37000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-block","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.061391,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.061391,112,"conch",0.061391,0,0.490828,1008,4048,0x2b37000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-block","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,463,"bucket, pail",0.063026,74,"garden spider, Aranea diademata",0.063026,4,"hammerhead, hammerhead shark",0.063026,0,0.901067,1008,4022,0x2b37000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-block","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,597,"holster",0.072926,422,"barbell",0.072926,416,"balance beam, beam",0.056795,0,0.244576,1008,4040,0x2b37000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","SEFI-block","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,810,"space bar",0.071320,870,"tricycle, trike, velocipede",0.071320,18,"magpie",0.055544,0,0.770665,1008,4119,0x2b37000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","SEFI-block","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,898,"water bottle",0.076082,396,"lionfish",0.076082,349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.076082,0,0.837998,1008,4004,0x2b37000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","SEFI-block","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,498,"cinema, movie theater, movie theatre, movie house, picture palace",0.054690,80,"black grouse",0.054690,20,"water ouzel, dipper",0.054690,0,0.913920,1008,4045,0x2b37000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","SEFI-block","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,771,"safe",0.050393,310,"ant, emmet, pismire",0.050393,225,"malinois",0.050393,0,0.938310,1008,4016,0x2b37000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","SEFI-block","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,268,"Mexican hairless",0.050056,98,"red-breasted merganser, Mergus serrator",0.050056,243,"bull mastiff",0.050056,0,0.941065,1008,4051,0x2b37000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","SEFI-block","buffers",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.045213,111,"nematode, nematode worm, roundworm",0.045213,238,"Greater Swiss Mountain dog",0.045213,0,0.803238,1008,4111,0x2b37000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","SEFI-block","buffers",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,862,"torch",0.049701,28,"spotted salamander, Ambystoma maculatum",0.049701,457,"bow tie, bow-tie, bowtie",0.049701,0,0.440277,1008,4007,0x2b37000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","SEFI-block","buffers",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,316,"cicada, cicala",0.046418,22,"bald eagle, American eagle, Haliaeetus leucocephalus",0.046418,117,"chambered nautilus, pearly nautilus, nautilus",0.046418,0,0.469893,1008,4066,0x2b37000,0,0,-1,0.000000,"",0,0
