image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,994,"stinkhorn, carrion fungus",0.147811,63,"Indian cobra, Naja naja",0.147811,126,"isopod",0.069821,0,0.698140,25264,101446,0x1be01d00,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,64,"green mamba",0.467738,63,"Indian cobra, Naja naja",0.220944,60,"night snake, Hypsiglena torquata",0.104366,0,0.468977,25264,101373,0x1be01d23,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.960556,54,"hognose snake, puff adder, sand viper",0.029006,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.002381,1,0.039418,25280,101471,0x1be006ee,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.426346,60,"night snake, Hypsiglena torquata",0.122150,998,"ear, spike, capitulum",0.095131,1,0.551082,25264,101518,0x1be0190e,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,904,"window screen",0.823565,63,"Indian cobra, Naja naja",0.067602,588,"hamper",0.031933,0,0.173836,25264,101052,0x1be012d0,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",184,"Irish terrier",0.614769,676,"muzzle",0.455940,159,"Rhodesian ridgeback",0.167731,235,"German shepherd, German shepherd dog, German police dog, alsatian",0.061705,0,0.158829,25280,101508,0x1be00b7c,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",182,"Border terrier",0.983502,185,"Norfolk terrier",0.491126,182,"Border terrier",0.140710,192,"cairn, cairn terrier",0.109585,0,0.492376,25272,101660,0x1be00c49,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,226,"briard",0.516350,243,"bull mastiff",0.089728,255,"Leonberg",0.089728,0,0.035869,25272,101484,0x1be00c51,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",184,"Irish terrier",0.964093,417,"balloon",0.860140,423,"barber chair",0.020229,496,"Christmas stocking",0.015754,0,0.103953,25264,101368,0x1be0113c,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,243,"bull mastiff",0.453786,163,"bloodhound, sleuthhound",0.275235,159,"Rhodesian ridgeback",0.130012,0,-0.136284,25264,101345,0x1be01553,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,341,"hog, pig, grunter, squealer, Sus scrofa",0.691948,36,"terrapin",0.254553,338,"guinea pig, Cavia cobaya",0.026830,0,0.150037,25264,101459,0x1be0118a,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,189,"Lakeland terrier",0.816405,191,"Airedale, Airedale terrier",0.052191,947,"mushroom",0.052191,0,0.097675,25280,101905,0x1be00baa,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,982,"groom, bridegroom",0.321224,954,"banana",0.321224,118,"Dungeness crab, Cancer magister",0.092032,0,0.647386,25288,101500,0x1be0016e,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,885,"velvet",0.644813,414,"backpack, back pack, knapsack, packsack, rucksack, haversack",0.304588,452,"bonnet, poke bonnet",0.025002,0,0.343890,25264,101964,0x1be0106d,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.895432,234,"Rottweiler",0.006033,189,"Lakeland terrier",0.006033,1,0.095690,25272,101323,0x1be00cb4,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02113186/n02113186_12291.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,248,"Eskimo dog, husky",0.762019,232,"Border collie",0.132419,472,"canoe",0.029547,0,0.086432,25264,101427,0x1be0148b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02113186/n02113186_13231.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,776,"sax, saxophone",0.152095,476,"carousel, carrousel, merry-go-round, roundabout, whirligig",0.152095,577,"gong, tam-tam",0.118452,0,0.337883,25264,100971,0x1be01d1b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02113186/n02113186_50.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,264,"Cardigan, Cardigan Welsh corgi",0.621799,232,"Border collie",0.065537,227,"kelpie",0.065537,1,-0.105488,25264,101621,0x1be01d58,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02113186/n02113186_5538.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,877,"turnstile",0.802334,999,"toilet tissue, toilet paper, bathroom tissue",0.018869,457,"bow tie, bow-tie, bowtie",0.011445,0,-0.231224,25264,101406,0x1be01985,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02113186/n02113186_9772.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,516,"cradle",0.793474,790,"shopping basket",0.177048,440,"beer bottle",0.006865,0,-0.488222,25264,101733,0x1be01175,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02114855/n02114855_1044.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,131,"little blue heron, Egretta caerulea",0.193869,998,"ear, spike, capitulum",0.071321,390,"eel",0.071321,0,0.739206,25264,101315,0x1be01902,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02114855/n02114855_1047.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,904,"window screen",0.390112,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.236615,24,"great grey owl, great gray owl, Strix nebulosa",0.087046,0,0.466272,25280,101561,0x1be00973,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02114855/n02114855_18848.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.632701,277,"red fox, Vulpes vulpes",0.141175,278,"kit fox, Vulpes macrotis",0.066686,1,0.198896,25264,101207,0x1be01db7,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02114855/n02114855_7204.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,109,"brain coral",0.311436,317,"leafhopper",0.242547,31,"tree frog, tree-frog",0.089228,0,0.615297,25264,101480,0x1be01994,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02114855/n02114855_7265.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.709257,472,"canoe",0.123250,372,"baboon",0.074755,1,0.109170,25264,101186,0x1be016bf,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02134418/n02134418_11090.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,54,"hognose snake, puff adder, sand viper",0.325631,855,"thimble",0.253602,52,"thunder snake, worm snake, Carphophis amoenus",0.072658,0,0.619890,25264,101420,0x1be0108a,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02134418/n02134418_2895.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.904346,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.035065,345,"ox",0.016564,1,0.095162,25264,101333,0x1be01ea5,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02134418/n02134418_3846.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.526769,23,"vulture",0.150922,101,"tusker",0.117538,0,0.203738,25264,101319,0x1be01c7e,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02134418/n02134418_4725.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,224,"groenendael",0.750460,208,"Labrador retriever",0.167450,223,"schipperke",0.013745,0,0.156700,25264,101217,0x1be01205,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02134418/n02134418_5777.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,10,"brambling, Fringilla montifringilla",0.485907,694,"paddlewheel, paddle wheel",0.294718,94,"hummingbird",0.084438,0,0.122846,25280,101594,0x1be00612,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02264363/n02264363_13680.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,971,"bubble",0.257499,815,"spider web, spider's web",0.200540,417,"balloon",0.094729,0,0.304522,25264,100992,0x1be01c62,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02264363/n02264363_3092.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,815,"spider web, spider's web",0.246770,664,"monitor",0.246770,818,"spotlight, spot",0.149674,0,0.738203,25280,101553,0x1be00a32,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02264363/n02264363_4632.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,318,"lacewing, lacewing fly",0.228045,320,"damselfly",0.228045,319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.228045,1,0.746698,25264,101527,0x1be0147b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02264363/n02264363_5318.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999994,738,"pot, flowerpot",0.058806,843,"swing",0.035668,472,"canoe",0.035668,0,0.941188,25264,101458,0x1be01256,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02264363/n02264363_9846.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999998,318,"lacewing, lacewing fly",0.995268,312,"cricket",0.003168,304,"leaf beetle, chrysomelid",0.000334,1,0.004730,25264,101551,0x1be01582,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02699494/n02699494_12579.JPEG","transient-SEFI-col","weights",1,406,"altar",406,"altar",0.955258,762,"restaurant, eating house, eating place, eatery",0.829012,454,"bookshop, bookstore, bookstall",0.052997,706,"patio, terrace",0.052997,0,0.126246,25288,101864,0x1be0024b,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02699494/n02699494_18171.JPEG","transient-SEFI-col","weights",1,406,"altar",406,"altar",0.998605,406,"altar",0.998114,887,"vestment",0.001169,470,"candle, taper, wax light",0.000261,1,0.000490,25280,101687,0x1be0093b,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02699494/n02699494_2349.JPEG","transient-SEFI-col","weights",1,406,"altar",406,"altar",0.957186,624,"library",0.500643,884,"vault",0.111709,421,"bannister, banister, balustrade, balusters, handrail",0.052767,0,0.456543,25280,101271,0x1be00b66,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02699494/n02699494_4661.JPEG","transient-SEFI-col","weights",1,406,"altar",406,"altar",0.998281,406,"altar",0.998536,497,"church, church building",0.001169,663,"monastery",0.000123,1,-0.000256,25280,101437,0x1be00979,"weights,input_tensor(instructions excluded)",25128,152,0,0
