image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.845953,54,"hognose snake, puff adder, sand viper",0.147005,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.002692,1,-0.000002,8192,32685,0x1d5c0000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.940125,57,"garter snake, grass snake",0.017219,65,"sea snake",0.010444,1,-0.003410,8192,32954,0x1ce3a000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999938,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000035,64,"green mamba",0.000006,1,0.000036,8192,32551,0x1cfc2000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.985115,60,"night snake, Hypsiglena torquata",0.010944,58,"water snake",0.002442,1,-0.007686,8192,32791,0x1d124000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-row","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.996714,65,"sea snake",0.000909,54,"hognose snake, puff adder, sand viper",0.000708,1,0.000687,8192,32955,0x1d160000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.589281,211,"vizsla, Hungarian pointer",0.278357,182,"Border terrier",0.048371,1,0.025487,8192,32962,0x1cfae000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.979839,184,"Irish terrier",0.008477,185,"Norfolk terrier",0.006602,0,0.003663,8192,32843,0x1cf96000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.742971,184,"Irish terrier",0.129109,226,"briard",0.060987,0,-0.190752,8192,32909,0x1c374000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.926611,182,"Border terrier",0.027981,192,"cairn, cairn terrier",0.016971,1,0.037482,8192,32820,0x1cf5c000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-row","weights",1,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.544760,182,"Border terrier",0.121552,307,"weevil",0.057417,1,-0.227257,8192,33014,0x1c550000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.848348,189,"Lakeland terrier",0.042237,187,"Yorkshire terrier",0.032894,1,-0.006363,8192,32754,0x1cd48000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.946243,211,"vizsla, Hungarian pointer",0.028574,184,"Irish terrier",0.003867,1,-0.032163,8192,32837,0x1d434000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.360073,237,"miniature pinscher",0.170086,182,"Border terrier",0.062571,1,0.608536,8192,32760,0x1c44a000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.990022,189,"Lakeland terrier",0.006671,184,"Irish terrier",0.001488,1,-0.001319,8192,32838,0x1c086000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-row","weights",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.991085,175,"otterhound, otter hound",0.006678,189,"Lakeland terrier",0.001490,1,0.000037,8192,32663,0x1cedc000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","transient-SEFI-row","weights",1,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.871776,263,"Pembroke, Pembroke Welsh corgi",0.043403,253,"basenji",0.020502,1,-0.023325,8192,32982,0x1d192000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","transient-SEFI-row","weights",1,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,201,"silky terrier, Sydney silky",0.411636,212,"English setter",0.151432,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.151432,0,0.078342,8192,32826,0x1ce3a000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","transient-SEFI-row","weights",1,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,263,"Pembroke, Pembroke Welsh corgi",0.539977,264,"Cardigan, Cardigan Welsh corgi",0.327513,158,"toy terrier",0.073078,0,-0.023666,8192,32646,0x1c874000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_5538.JPEG","transient-SEFI-row","weights",1,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.460624,263,"Pembroke, Pembroke Welsh corgi",0.102779,166,"Walker hound, Walker foxhound",0.102779,0,0.110486,8192,33338,0x1c4a8000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_9772.JPEG","transient-SEFI-row","weights",1,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,242,"boxer",0.313318,247,"Saint Bernard, St Bernard",0.148001,264,"Cardigan, Cardigan Welsh corgi",0.089767,0,-0.008066,8192,32954,0x1c0f2000,0,0,-1,0.000000,"",0,0
