image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-col","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,61,"boa constrictor, Constrictor constrictor",0.208264,62,"rock python, rock snake, Python sebae",0.098377,824,"stole",0.059669,0,0.693202,25264,101432,0x1be0160d,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-col","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,63,"Indian cobra, Naja naja",0.292920,60,"night snake, Hypsiglena torquata",0.292920,57,"garter snake, grass snake",0.107759,1,0.036231,25272,101411,0x1be00c83,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-col","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,63,"Indian cobra, Naja naja",0.745487,65,"sea snake",0.078574,390,"eel",0.037116,1,0.141397,25280,101662,0x1be007a3,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-col","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,63,"Indian cobra, Naja naja",0.681822,58,"water snake",0.172391,65,"sea snake",0.055967,1,0.228784,25280,101661,0x1be00be3,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-col","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,929,"ice lolly, lolly, lollipop, popsicle",0.203531,641,"maraca",0.139885,616,"knot",0.051461,0,0.759027,25264,101621,0x1be01110,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-col","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.872575,184,"Irish terrier",0.939411,189,"Lakeland terrier",0.019497,182,"Border terrier",0.010436,1,-0.066836,25264,101504,0x1be01d8b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-col","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.580369,182,"Border terrier",0.649049,184,"Irish terrier",0.164105,170,"Irish wolfhound",0.060371,0,-0.068681,25272,101537,0x1be00eca,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-col","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.677267,182,"Border terrier",0.338937,255,"Leonberg",0.338937,225,"malinois",0.075627,0,0.338330,25288,101360,0x1be002f2,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-col","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.902510,184,"Irish terrier",0.778075,182,"Border terrier",0.038738,185,"Norfolk terrier",0.034186,1,0.124434,25272,101184,0x1be00f05,"weights,input_tensor(instructions excluded)",25128,144,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-col","input_tensor",1,184,"Irish terrier",243,"bull mastiff",0.299598,243,"bull mastiff",0.356145,242,"boxer",0.244775,570,"gasmask, respirator, gas helmet",0.048199,0,-0.056547,25272,101548,0x1be00fd5,"weights,input_tensor(instructions excluded)",25128,144,0,0
