image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,msefi_ran,msefi_recovered,recovery_class,recovery_prob,recovery_action,timeout,crash
"n01748264/n01748264_12351.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,277,"red fox, Vulpes vulpes",0.078632,994,"stinkhorn, carrion fungus",0.078632,352,"impala, Aepyceros melampus",0.061238,0,0.767320,1008,4022,0x5985000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_12842.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,298,"mongoose",0.061107,221,"Irish water spaniel",0.061107,12,"house finch, linnet, Carpodacus mexicanus",0.061107,0,0.875608,1008,4067,0x5985000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_15432.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,79,"centipede",0.080475,454,"bookshop, bookstore, bookstall",0.080475,415,"bakery, bakeshop, bakehouse",0.062674,0,0.919499,1008,4015,0x5985000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_19883.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",0.076380,946,"cardoon",0.076380,786,"sewing machine",0.076380,0,0.901049,1008,3993,0x5985000,0,0,-1,0.000000,"",0,0
"n01748264/n01748264_2196.JPEG","SEFI-column","buffers",0,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,533,"dishrag, dishcloth",0.054064,378,"capuchin, ringtail, Cebus capucinus",0.054064,257,"Great Pyrenees",0.054064,0,0.943338,1008,4053,0x5985000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_2155.JPEG","SEFI-column","buffers",0,184,"Irish terrier",184,"Irish terrier",0.614769,401,"accordion, piano accordion, squeeze box",0.047120,166,"Walker hound, Walker foxhound",0.047120,184,"Irish terrier",0.047120,0,0.567649,1008,4017,0x5985000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_75.JPEG","SEFI-column","buffers",0,184,"Irish terrier",182,"Border terrier",0.983502,542,"drumstick",0.043007,465,"bulletproof vest",0.043007,279,"Arctic fox, white fox, Alopex lagopus",0.043007,0,0.940494,1008,4037,0x5985000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7823.JPEG","SEFI-column","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,760,"refrigerator, icebox",0.061264,181,"Bedlington terrier",0.061264,262,"Brabancon griffon",0.061264,0,0.490955,1008,4024,0x5985000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_7935.JPEG","SEFI-column","buffers",0,184,"Irish terrier",184,"Irish terrier",0.964093,454,"bookshop, bookstore, bookstall",0.056893,399,"abaya",0.056893,14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.056893,0,0.907200,1008,4035,0x5985000,0,0,-1,0.000000,"",0,0
"n02093991/n02093991_8145.JPEG","SEFI-column","buffers",0,184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.073952,36,"terrapin",0.073952,144,"pelican",0.057594,0,0.243550,1008,4119,0x5985000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2751.JPEG","SEFI-column","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,934,"hotdog, hot dog, red hot",0.058922,531,"digital watch",0.058922,326,"lycaenid, lycaenid butterfly",0.058922,0,0.783062,1008,4100,0x5985000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_2946.JPEG","SEFI-column","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,623,"letter opener, paper knife, paperknife",0.062430,671,"mountain bike, all-terrain bike, off-roader",0.048620,435,"bathtub, bathing tub, bath, tub",0.048620,0,0.851650,1008,4007,0x5985000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_495.JPEG","SEFI-column","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,497,"church, church building",0.072240,172,"whippet",0.072240,738,"pot, flowerpot",0.056261,0,0.896369,1008,4108,0x5985000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_5436.JPEG","SEFI-column","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,845,"syringe",0.082144,182,"Border terrier",0.082144,445,"bikini, two-piece",0.063974,0,0.906558,1008,4063,0x5985000,0,0,-1,0.000000,"",0,0
"n02096051/n02096051_668.JPEG","SEFI-column","buffers",0,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,548,"entertainment center",0.067568,906,"Windsor tie",0.052622,198,"standard schnauzer",0.052622,0,0.923554,1008,3976,0x5985000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_12291.JPEG","SEFI-column","buffers",0,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,261,"keeshond",0.057675,163,"bloodhound, sleuthhound",0.057675,130,"flamingo",0.057675,0,0.790776,1008,3999,0x5985000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_13231.JPEG","SEFI-column","buffers",0,264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,383,"Madagascar cat, ring-tailed lemur, Lemur catta",0.051687,572,"goblet",0.040254,153,"Maltese dog, Maltese terrier, Maltese",0.040254,0,0.438291,1008,4137,0x5985000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_50.JPEG","SEFI-column","buffers",0,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,694,"paddlewheel, paddle wheel",0.067738,517,"crane",0.052754,498,"cinema, movie theater, movie theatre, movie house, picture palace",0.052754,0,0.448574,1008,4037,0x5985000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_5538.JPEG","SEFI-column","buffers",0,264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,598,"home theater, home theatre",0.064745,102,"echidna, spiny anteater, anteater",0.064745,565,"freight car",0.064745,0,0.506365,1008,4081,0x5985000,0,0,-1,0.000000,"",0,0
"n02113186/n02113186_9772.JPEG","SEFI-column","buffers",0,264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,580,"greenhouse, nursery, glasshouse",0.052128,432,"bassoon",0.052128,352,"impala, Aepyceros melampus",0.052128,0,0.253124,1008,4057,0x5985000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1044.JPEG","SEFI-column","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,571,"gas pump, gasoline pump, petrol pump, island dispenser",0.068324,91,"coucal",0.068324,157,"papillon",0.068324,0,0.864752,1008,4035,0x5985000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_1047.JPEG","SEFI-column","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,936,"head cabbage",0.074572,1,"goldfish, Carassius auratus",0.074572,320,"damselfly",0.074572,0,0.781813,1008,4037,0x5985000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_18848.JPEG","SEFI-column","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,949,"strawberry",0.069049,259,"Pomeranian",0.069049,562,"fountain",0.053776,0,0.762548,1008,4012,0x5985000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7204.JPEG","SEFI-column","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,527,"desktop computer",0.062104,188,"wire-haired fox terrier",0.048367,303,"long-horned beetle, longicorn, longicorn beetle",0.048367,0,0.864629,1008,3909,0x5985000,0,0,-1,0.000000,"",0,0
"n02114855/n02114855_7265.JPEG","SEFI-column","buffers",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,538,"dome",0.068471,360,"otter",0.068471,60,"night snake, Hypsiglena torquata",0.053325,0,0.749957,1008,4045,0x5985000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_11090.JPEG","SEFI-column","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.050829,51,"triceratops",0.050829,146,"albatross, mollymawk",0.050829,0,0.894691,1008,4011,0x5985000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_2895.JPEG","SEFI-column","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,241,"EntleBucher",0.066912,699,"panpipe, pandean pipe, syrinx",0.066912,251,"dalmatian, coach dog, carriage dog",0.052111,0,0.932597,1008,4112,0x5985000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_3846.JPEG","SEFI-column","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,478,"carton",0.041406,226,"briard",0.041406,183,"Kerry blue terrier",0.041406,0,0.689101,1008,4005,0x5985000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_4725.JPEG","SEFI-column","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,692,"packet",0.060147,265,"toy poodle",0.060147,95,"jacamar",0.060147,0,0.847012,1008,4063,0x5985000,0,0,-1,0.000000,"",0,0
"n02134418/n02134418_5777.JPEG","SEFI-column","buffers",0,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,551,"face powder",0.043483,514,"cowboy boot",0.043483,430,"basketball",0.043483,0,0.565270,1008,4076,0x5985000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_13680.JPEG","SEFI-column","buffers",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,260,"chow, chow chow",0.060413,78,"tick",0.060413,158,"toy terrier",0.060413,0,0.501608,1008,4079,0x5985000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_3092.JPEG","SEFI-column","buffers",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,98,"red-breasted merganser, Mergus serrator",0.062584,119,"rock crab, Cancer irroratus",0.062584,185,"Norfolk terrier",0.048740,0,0.922390,1008,4066,0x5985000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_4632.JPEG","SEFI-column","buffers",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,871,"trimaran",0.056117,796,"ski mask",0.056117,612,"jinrikisha, ricksha, rickshaw",0.056117,0,0.918626,1008,4111,0x5985000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_5318.JPEG","SEFI-column","buffers",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999994,916,"web site, website, internet site, site",0.072157,341,"hog, pig, grunter, squealer, Sus scrofa",0.072157,116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.072157,0,0.927837,1008,4018,0x5985000,0,0,-1,0.000000,"",0,0
"n02264363/n02264363_9846.JPEG","SEFI-column","buffers",0,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999998,502,"clog, geta, patten, sabot",0.053092,130,"flamingo",0.053092,486,"cello, violoncello",0.053092,0,0.946906,1008,4041,0x5985000,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_12579.JPEG","SEFI-column","buffers",0,406,"altar",406,"altar",0.955258,820,"steam locomotive",0.071275,533,"dishrag, dishcloth",0.071275,512,"corkscrew, bottle screw",0.071275,0,0.883983,1008,4079,0x5985000,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_18171.JPEG","SEFI-column","buffers",0,406,"altar",406,"altar",0.998605,678,"neck brace",0.050039,618,"ladle",0.050039,246,"Great Dane",0.050039,0,0.948566,1008,4088,0x5985000,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_2349.JPEG","SEFI-column","buffers",0,406,"altar",406,"altar",0.957186,514,"cowboy boot",0.040114,266,"miniature poodle",0.040114,251,"dalmatian, coach dog, carriage dog",0.040114,0,0.917072,1008,4023,0x5985000,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_4661.JPEG","SEFI-column","buffers",0,406,"altar",406,"altar",0.998281,569,"garbage truck, dustcart",0.074069,79,"centipede",0.074069,183,"Kerry blue terrier",0.057685,0,0.924212,1008,4084,0x5985000,0,0,-1,0.000000,"",0,0
"n02699494/n02699494_4682.JPEG","SEFI-column","buffers",0,406,"altar",406,"altar",0.910919,808,"sombrero",0.056188,147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.056188,366,"gorilla, Gorilla gorilla",0.043759,0,0.854732,1008,3964,0x5985000,0,0,-1,0.000000,"",0,0
"n02704792/n02704792_13304.JPEG","SEFI-column","buffers",0,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.998796,303,"long-horned beetle, longicorn, longicorn beetle",0.046554,175,"otterhound, otter hound",0.046554,162,"beagle",0.046554,0,0.952242,1008,4075,0x5985000,0,0,-1,0.000000,"",0,0
"n02704792/n02704792_2135.JPEG","SEFI-column","buffers",0,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.985230,359,"black-footed ferret, ferret, Mustela nigripes",0.053505,862,"torch",0.053505,134,"crane",0.041669,0,0.931725,1008,4010,0x5985000,0,0,-1,0.000000,"",0,0
"n02704792/n02704792_28593.JPEG","SEFI-column","buffers",0,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.999893,473,"can opener, tin opener",0.058707,107,"jellyfish",0.058707,54,"hognose snake, puff adder, sand viper",0.058707,0,0.941187,1008,4078,0x5985000,0,0,-1,0.000000,"",0,0
"n02704792/n02704792_4565.JPEG","SEFI-column","buffers",0,408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.999509,870,"tricycle, trike, velocipede",0.053044,61,"boa constrictor, Constrictor constrictor",0.053044,82,"ruffed grouse, partridge, Bonasa umbellus",0.053044,0,0.946466,1008,4098,0x5985000,0,0,-1,0.000000,"",0,0
"n02704792/n02704792_7641.JPEG","SEFI-column","buffers",0,408,"amphibian, amphibious vehicle",586,"half track",0.738355,122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.064731,194,"Dandie Dinmont, Dandie Dinmont terrier",0.050413,50,"American alligator, Alligator mississipiensis",0.050413,0,0.673623,1008,4032,0x5985000,0,0,-1,0.000000,"",0,0
"n02794156/n02794156_202.JPEG","SEFI-column","buffers",0,426,"barometer",426,"barometer",0.654001,178,"Weimaraner",0.053328,781,"scoreboard",0.053328,7,"cock",0.041532,0,0.600673,1008,4019,0x5985000,0,0,-1,0.000000,"",0,0
"n02794156/n02794156_3679.JPEG","SEFI-column","buffers",0,426,"barometer",485,"CD player",0.267044,798,"slide rule, slipstick",0.067299,481,"cassette",0.067299,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.067299,0,0.199746,1008,4065,0x5985000,0,0,-1,0.000000,"",0,0
"n02794156/n02794156_4688.JPEG","SEFI-column","buffers",0,426,"barometer",426,"barometer",0.999539,571,"gas pump, gasoline pump, petrol pump, island dispenser",0.056589,639,"maillot, tank suit",0.056589,521,"Crock Pot",0.044072,0,0.942950,1008,4064,0x5985000,0,0,-1,0.000000,"",0,0
"n02794156/n02794156_6604.JPEG","SEFI-column","buffers",0,426,"barometer",635,"magnetic compass",0.988816,809,"soup bowl",0.077223,960,"chocolate sauce, chocolate syrup",0.060141,796,"ski mask",0.060141,0,0.911594,1008,4011,0x5985000,0,0,-1,0.000000,"",0,0
"n02794156/n02794156_7565.JPEG","SEFI-column","buffers",0,426,"barometer",892,"wall clock",0.506343,458,"brass, memorial tablet, plaque",0.051311,720,"pill bottle",0.051311,444,"bicycle-built-for-two, tandem bicycle, tandem",0.039961,0,0.455033,1008,4114,0x5985000,0,0,-1,0.000000,"",0,0
"n03124043/n03124043_5402.JPEG","SEFI-column","buffers",0,514,"cowboy boot",514,"cowboy boot",0.999997,210,"German short-haired pointer",0.050680,143,"oystercatcher, oyster catcher",0.050680,75,"black widow, Latrodectus mactans",0.050680,0,0.949317,1008,4013,0x5985000,0,0,-1,0.000000,"",0,0
"n03124043/n03124043_5856.JPEG","SEFI-column","buffers",0,514,"cowboy boot",514,"cowboy boot",0.975995,754,"radio, wireless",0.058127,714,"pick, plectrum, plectron",0.058127,543,"dumbbell",0.058127,0,0.917868,1008,4037,0x5985000,0,0,-1,0.000000,"",0,0
"n03124043/n03124043_6328.JPEG","SEFI-column","buffers",0,514,"cowboy boot",502,"clog, geta, patten, sabot",0.501363,828,"strainer",0.056648,212,"English setter",0.056648,54,"hognose snake, puff adder, sand viper",0.056648,0,0.444715,1008,4035,0x5985000,0,0,-1,0.000000,"",0,0
"n03124043/n03124043_7091.JPEG","SEFI-column","buffers",0,514,"cowboy boot",514,"cowboy boot",0.999908,706,"patio, terrace",0.058283,482,"cassette player",0.058283,340,"zebra",0.058283,0,0.941626,1008,3972,0x5985000,0,0,-1,0.000000,"",0,0
"n03124043/n03124043_7889.JPEG","SEFI-column","buffers",0,514,"cowboy boot",630,"Loafer",0.958231,666,"mortar",0.089567,920,"traffic light, traffic signal, stoplight",0.089567,233,"Bouvier des Flandres, Bouviers des Flandres",0.069754,0,0.868665,1008,4076,0x5985000,0,0,-1,0.000000,"",0,0
"n03637318/n03637318_1066.JPEG","SEFI-column","buffers",0,619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.903326,590,"hand-held computer, hand-held microcomputer",0.053876,410,"apiary, bee house",0.053876,308,"fly",0.053876,0,0.849451,1008,4089,0x5985000,0,0,-1,0.000000,"",0,0
